=== FOREX ===
COUNT=28
MODES={"TREND":14,"MEAN_REVERSION":9,"GENERIC":5}
JUP | RELATIVE | families=SOL_DEFI,MOMENTUM,RELATIVE,BTCALIGN,BREADTH | entry=ROUTER | riskATR=0.75 | source=V70 | news=SOL_DEFI
KAITO | RELATIVE | families=AI_INFOFI,MOMENTUM,RELATIVE,BTCALIGN,H1TREND | entry=ROUTER | riskATR=1.25 | source=V70 | news=AI_INFOFI
LDO | RELATIVE | families=ETH_STAKING,H4TREND,D1TREND,RELATIVE,BTCALIGN | entry=ROUTER | riskATR=0.75 | source=V70 | news=ETH_STAKING
LINK | RELATIVE | families=ORACLE_RWA,MOMENTUM,BTCALIGN,RELATIVE | entry=ROUTER | riskATR=1.25 | source=V70 | news=ORACLE_RWA
LTC | RELATIVE | families=BTC_BETA,H4TREND,D1TREND,MOMENTUM,BREADTH | entry=ROUTER | riskATR=0.75 | source=V70 | news=BTC_BETA
MOODENG | RELATIVE | families=MEME,H1TREND,BREADTH,BTCALIGN | entry=ROUTER | riskATR=0.75 | source=V70 | news=MEME
NEAR | MEAN_REVERSION | families=L1_AI,D1TREND,RELATIVE,H1TREND,MEANREV | entry=ROUTER | riskATR=0.75 | source=V70 | news=L1_AI
ONDO | MEAN_REVERSION | families=MEANREV | entry=DUAL_FADE | riskATR=0.7 | source=V69 | news=RWA
OP | RELATIVE | families=L2,BTCALIGN,H1TREND,H4TREND | entry=ROUTER | riskATR=0.75 | source=V70 | news=L2
ORDI | TREND | families=BTC_ECOSYSTEM,MOMENTUM,H1TREND,D1TREND | entry=ROUTER | riskATR=0.75 | source=V70 | news=BTC_ECOSYSTEM
PENGU | TREND | families=H4TREND | entry=DUAL_FADE | riskATR=0.75 | source=V69 | news=MEME
PEPE | MEAN_REVERSION | families=MEME,H4TREND,MEANREV,BTCALIGN | entry=ROUTER | riskATR=0.75 | source=V70 | news=MEME
PNUT | RELATIVE | families=MEME,RELATIVE,BREADTH,HYBRID | entry=ROUTER | riskATR=1 | source=V70 | news=MEME
POL | MEAN_REVERSION | families=L2,MEANREV,H4TREND | entry=ROUTER | riskATR=0.75 | source=V70 | news=L2
POPCAT | RELATIVE | families=MEME,BTCALIGN,MOMENTUM | entry=ROUTER | riskATR=0.75 | source=V70 | news=MEME
RENDER | TREND | families=H1TREND | entry=DUAL_FADE | riskATR=0.5 | source=V69 | news=AI_COMPUTE
S | MEAN_REVERSION | families=L1,HYBRID,MEANREV | entry=ROUTER | riskATR=0.75 | source=V70 | news=L1
STX | RELATIVE | families=BTC_ECOSYSTEM,BREADTH,BTCALIGN,H4TREND | entry=ROUTER | riskATR=1 | source=V70 | news=BTC_ECOSYSTEM
SUI | RELATIVE | families=L1,D1TREND,H4TREND,MOMENTUM,BTCALIGN | entry=ROUTER | riskATR=0.75 | source=V70 | news=L1
TAO | RELATIVE | families=H1TREND,BTCALIGN,RELATIVE | entry=ROUTER | riskATR=0.75 | source=V71 | news=AI_COMPUTE
TIA | TREND | families=MOMENTUM | entry=DUAL_FADE | riskATR=0.8 | source=V69 | news=MODULAR
TON | MEAN_REVERSION | families=MESSAGING_L1,MEANREV,H4TREND,HYBRID,MOMENTUM,RELATIVE | entry=ROUTER | riskATR=0.75 | source=V72 | news=MESSAGING_L1
TRUMP | RELATIVE | families=MEME,MOMENTUM,RELATIVE,BTCALIGN | entry=ROUTER | riskATR=1 | source=V70 | news=MEME
UNI | RELATIVE | families=BTCALIGN | entry=DUAL_FADE | riskATR=0.9 | source=V69 | news=DEFI
WIF | RELATIVE | families=SOL_MEME,RELATIVE,H1TREND | entry=ROUTER | riskATR=0.75 | source=V70 | news=SOL_MEME
WLD | TREND | families=D1TREND | entry=DUAL_FADE | riskATR=0.7 | source=V69 | news=AI_IDENTITY
AIXBT | RELATIVE | families=BTCALIGN | entry=DUAL_FADE | riskATR=0.8 | source=V69 | news=AI_INFOFI
ASTER | MEAN_REVERSION | families=PERP_DEX,MEANREV,H4TREND,D1TREND,BTCALIGN | entry=ROUTER | riskATR=1 | source=V70 | news=PERP_DEX
FARTCOIN | TREND | families=D1TREND | entry=DUAL_FADE | riskATR=0.65 | source=V69 | news=MEME
GRASS | RELATIVE | families=AI_DATA,RELATIVE,MOMENTUM | entry=ROUTER | riskATR=0.75 | source=V70 | news=AI_DATA
IP | MEAN_REVERSION | families=IP_RWA,MOMENTUM,CONTRA24,BREADTH,RELATIVE,BTCALIGN | entry=ROUTER | riskATR=0.8 | source=V72 | news=IP_RWA
LIT | RELATIVE | families=RELATIVE | entry=DUAL_FADE | riskATR=0.75 | source=V69 | news=IDENTITY
PUMP | RELATIVE | families=BTCALIGN | entry=DUAL_FADE | riskATR=0.75 | source=V69 | news=SOL_MEME
VIRTUAL | RELATIVE | families=AI_AGENT,H4TREND,RELATIVE,H1TREND | entry=ROUTER | riskATR=0.75 | source=V70 | news=AI_AGENT
XPL | RELATIVE | families=RELATIVE | entry=DUAL_FADE | riskATR=0.6 | source=V69 | news=L1
ZEC | RELATIVE | families=RELATIVE | entry=DUAL_FADE | riskATR=0.75 | source=V69 | news=PRIVACY
